id_kks,value,session_date,session_id,cycle_id,tm_update
9,1.56156e-39,2020-05-28-16:06:45,6623,1,1590671205.72757
10,1.56228e-39,2020-05-28-16:06:45,6623,1,1590671205.74207
11,1.563e-39,2020-05-28-16:06:45,6623,1,1590671205.74427
12,1.56371e-39,2020-05-28-16:06:45,6623,1,1590671205.74658
13,-107503.0,2020-05-28-16:06:45,6623,1,1590671205.74974
14,-125.661,2020-05-28-16:06:45,6623,1,1590671205.75214
15,-110.424,2020-05-28-16:06:45,6623,1,1590671205.75448
16,-121.647,2020-05-28-16:06:45,6623,1,1590671205.75658
17,-3.90625e-05,2020-05-28-16:06:45,6623,1,1590671205.75945
18,4.88281e-06,2020-05-28-16:06:45,6623,1,1590671205.76174
19,0.000302734,2020-05-28-16:06:45,6623,1,1590671205.76418
20,0.000161133,2020-05-28-16:06:45,6623,1,1590671205.76664
9,1.56156e-39,2020-05-28-16:06:45,6623,2,1590671206.77131
10,1.56228e-39,2020-05-28-16:06:45,6623,2,1590671206.77698
11,1.563e-39,2020-05-28-16:06:45,6623,2,1590671206.77918
12,1.56371e-39,2020-05-28-16:06:45,6623,2,1590671206.78136
13,-107500.0,2020-05-28-16:06:45,6623,2,1590671206.7841
14,-125.661,2020-05-28-16:06:45,6623,2,1590671206.78649
15,-110.426,2020-05-28-16:06:45,6623,2,1590671206.78899
16,-121.646,2020-05-28-16:06:45,6623,2,1590671206.79154
17,-0.000249023,2020-05-28-16:06:45,6623,2,1590671206.79449
18,0.000102539,2020-05-28-16:06:45,6623,2,1590671206.79714
19,6.83594e-05,2020-05-28-16:06:45,6623,2,1590671206.79946
20,0.000131836,2020-05-28-16:06:45,6623,2,1590671206.80176
9,1.56156e-39,2020-05-28-16:06:45,6623,3,1590671207.80629
10,1.56228e-39,2020-05-28-16:06:45,6623,3,1590671207.82117
11,1.563e-39,2020-05-28-16:06:45,6623,3,1590671207.8241
12,1.56371e-39,2020-05-28-16:06:45,6623,3,1590671207.8272
13,-107500.0,2020-05-28-16:06:45,6623,3,1590671207.83118
14,-125.655,2020-05-28-16:06:45,6623,3,1590671207.83487
15,-110.427,2020-05-28-16:06:45,6623,3,1590671207.83881
16,-121.641,2020-05-28-16:06:45,6623,3,1590671207.84288
17,-0.000161133,2020-05-28-16:06:45,6623,3,1590671207.84766
18,0.00012207,2020-05-28-16:06:45,6623,3,1590671207.85184
19,0.000307617,2020-05-28-16:06:45,6623,3,1590671207.85641
20,0.000166016,2020-05-28-16:06:45,6623,3,1590671207.86092
9,1.56156e-39,2020-05-28-16:06:45,6623,4,1590671208.86789
10,1.56228e-39,2020-05-28-16:06:45,6623,4,1590671208.87269
11,1.563e-39,2020-05-28-16:06:45,6623,4,1590671208.87703
12,1.56371e-39,2020-05-28-16:06:45,6623,4,1590671208.88153
13,-107501.0,2020-05-28-16:06:45,6623,4,1590671208.88633
14,-125.659,2020-05-28-16:06:45,6623,4,1590671208.89082
15,-110.428,2020-05-28-16:06:45,6623,4,1590671208.89533
16,-121.645,2020-05-28-16:06:45,6623,4,1590671208.89943
17,-0.000297852,2020-05-28-16:06:45,6623,4,1590671208.90399
18,-5.85938e-05,2020-05-28-16:06:45,6623,4,1590671208.90816
19,0.000117188,2020-05-28-16:06:45,6623,4,1590671208.91213
20,-8.78906e-05,2020-05-28-16:06:45,6623,4,1590671208.91591
9,1.56156e-39,2020-05-28-16:06:45,6623,5,1590671209.92211
10,1.56228e-39,2020-05-28-16:06:45,6623,5,1590671209.9386
11,1.563e-39,2020-05-28-16:06:45,6623,5,1590671209.94313
12,1.56371e-39,2020-05-28-16:06:45,6623,5,1590671209.94761
13,-107503.0,2020-05-28-16:06:45,6623,5,1590671209.95227
14,-125.656,2020-05-28-16:06:45,6623,5,1590671209.95687
15,-110.429,2020-05-28-16:06:45,6623,5,1590671209.96158
16,-121.639,2020-05-28-16:06:45,6623,5,1590671209.9659
17,-0.000136719,2020-05-28-16:06:45,6623,5,1590671209.97131
18,-3.41797e-05,2020-05-28-16:06:45,6623,5,1590671209.97597
19,0.000102539,2020-05-28-16:06:45,6623,5,1590671209.98067
20,3.90625e-05,2020-05-28-16:06:45,6623,5,1590671209.98533
9,1.56156e-39,2020-05-28-16:06:45,6623,6,1590671210.99209
10,1.56228e-39,2020-05-28-16:06:45,6623,6,1590671211.00873
11,1.563e-39,2020-05-28-16:06:45,6623,6,1590671211.01341
12,1.56371e-39,2020-05-28-16:06:45,6623,6,1590671211.01792
13,-107502.0,2020-05-28-16:06:45,6623,6,1590671211.02276
14,-125.656,2020-05-28-16:06:45,6623,6,1590671211.02717
15,-110.428,2020-05-28-16:06:45,6623,6,1590671211.03151
16,-121.642,2020-05-28-16:06:45,6623,6,1590671211.03573
17,-0.000263672,2020-05-28-16:06:45,6623,6,1590671211.0406
18,-0.000112305,2020-05-28-16:06:45,6623,6,1590671211.04487
19,1.95313e-05,2020-05-28-16:06:45,6623,6,1590671211.04914
20,2.44141e-05,2020-05-28-16:06:45,6623,6,1590671211.05386
9,1.56156e-39,2020-05-28-16:06:45,6623,7,1590671212.06104
10,1.56228e-39,2020-05-28-16:06:45,6623,7,1590671212.07787
11,1.563e-39,2020-05-28-16:06:45,6623,7,1590671212.08255
12,1.56371e-39,2020-05-28-16:06:45,6623,7,1590671212.08732
13,-107503.0,2020-05-28-16:06:45,6623,7,1590671212.09232
14,-125.648,2020-05-28-16:06:45,6623,7,1590671212.0969
15,-110.423,2020-05-28-16:06:45,6623,7,1590671212.10138
16,-121.64,2020-05-28-16:06:45,6623,7,1590671212.10499
17,-0.000107422,2020-05-28-16:06:45,6623,7,1590671212.11026
18,-4.88281e-06,2020-05-28-16:06:45,6623,7,1590671212.11311
19,0.000117188,2020-05-28-16:06:45,6623,7,1590671212.11571
20,0.000166016,2020-05-28-16:06:45,6623,7,1590671212.11837
9,1.56156e-39,2020-05-28-16:06:45,6623,8,1590671213.12244
10,1.56228e-39,2020-05-28-16:06:45,6623,8,1590671213.13728
11,1.563e-39,2020-05-28-16:06:45,6623,8,1590671213.13953
12,1.56371e-39,2020-05-28-16:06:45,6623,8,1590671213.14205
13,-107502.0,2020-05-28-16:06:45,6623,8,1590671213.14496
14,-125.67,2020-05-28-16:06:45,6623,8,1590671213.14749
15,-110.424,2020-05-28-16:06:45,6623,8,1590671213.15002
